開催年,開催日付,コースコード,馬コード,開催回,開催日目,レース番号,枠番,馬番,東西所属コード,負担重量,馬齢,性別,誕生月,騎手コード,騎手東西所属コード,ブリンカーフラグ,着順,着差,走破タイム,グレードコード,ハンデ条件,トラックコード,年齢条件,競争条件,競争記号,距離,スタートタイム,出走頭数,毛色,開催年_1走前,開催年_2走前,開催年_3走前,開催日付_1走前,開催日付_2走前,開催日付_3走前,レース番号_1走前,レース番号_2走前,レース番号_3走前,枠番_1走前,枠番_2走前,枠番_3走前,馬番_1走前,馬番_2走前,馬番_3走前,負担重量_1走前,負担重量_2走前,負担重量_3走前,馬体重_1走前,馬体重_2走前,馬体重_3走前,馬体重増減_1走前,馬体重増減_2走前,馬体重増減_3走前,単勝オッズ_1走前,単勝オッズ_2走前,単勝オッズ_3走前,人気_1走前,人気_2走前,人気_3走前,着順_1走前,着順_2走前,着順_3走前,コーナー1順位_1走前,コーナー1順位_2走前,コーナー1順位_3走前,コーナー2順位_1走前,コーナー2順位_2走前,コーナー2順位_3走前,コーナー3順位_1走前,コーナー3順位_2走前,コーナー3順位_3走前,コーナー4順位_1走前,コーナー4順位_2走前,コーナー4順位_3走前,走破タイム_1走前,走破タイム_2走前,走破タイム_3走前,着差_1走前,着差_2走前,着差_3走前,年齢条件_1走前,年齢条件_2走前,年齢条件_3走前,競争条件_1走前,競争条件_2走前,競争条件_3走前,ハンデ条件_1走前,ハンデ条件_2走前,ハンデ条件_3走前,競争記号_1走前,競争記号_2走前,競争記号_3走前,芝ダート_1走前,芝ダート_2走前,芝ダート_3走前,距離_1走前,距離_2走前,距離_3走前,スタートタイム_1走前,スタートタイム_2走前,スタートタイム_3走前,出走頭数_1走前,出走頭数_2走前,出走頭数_3走前,グレードコード_1走前,グレードコード_2走前,グレードコード_3走前,開催回_1走前,開催回_2走前,開催回_3走前,開催日_1走前,開催日_2走前,開催日_3走前,天気_1走前,天気_2走前,天気_3走前,馬場状態_1走前,馬場状態_2走前,馬場状態_3走前,ブリンカーフラグ_1走前,ブリンカーフラグ_2走前,ブリンカーフラグ_3走前,タイム3f_1走前,タイム3f_2走前,タイム3f_3走前
2019,629,7,2014101318,3,1,11,1,1,関西,56,5,牡馬,3,1165,関西,0,0,0,0.0,5,ハンデ,ダート,３上,１６００万円以下,(混合)[指定] ,1800,1535,16,栗毛,2019,2019,2019,616,519,505,10,12,9,0,7,5,0,14,10,57,56,56,,490,482,0,8,6,0,270,515,0,9,11,0,5,5,0,12,12,0,12,12,0,12,11,0,13,11,00.0,2.12.1,1.52.5,0.0,0.5,0.8,３上,４上,４上,１６００万円以下,１６００万円以下,１６００万円以下,定量,ハンデ,ハンデ,(混合)(特指),(混合)[指定] ,(混合)[指定] ,ダート,ダート,ダート,1800,2100,1800,1501,1625,1415,13,16,16,5.0,5.0,5.0,3,2,3,6,10,6,曇,晴,晴,稍重,良,良,0,0,0.0,0.0,36.6,37.7
2019,629,7,2015103949,3,1,11,1,2,関西,54,4,牡馬,4,1037,関西,0,0,0,0.0,5,ハンデ,ダート,３上,１６００万円以下,(混合)[指定] ,1800,1535,16,鹿毛,2019,2019,2019,504,407,317,12,6,8,5,5,7,10,5,8,57,57,57,524.0,528,518,-4,10,-2,100,25,27,6,1,1,1,1,2,3,2,1,3,2,1,3,2,1,3,2,1,1.52.2,1.53.9,1.55.3,0.0,0.0,1.1,４上,４上,４上,１０００万円以下,５００万円以下,５００万円以下,定量,定量,定量,(混合)[指定] ,(混合)[指定] ,[指定],ダート,ダート,ダート,1800,1800,1800,1610,1255,1350,16,10,10,,,,3,2,1,5,6,8,晴,晴,晴,良,良,稍重,0,0,0.0,37.7,36.8,37.5
2019,629,7,2015103249,3,1,11,2,3,関西,54,4,牡馬,2,1019,関西,0,0,0,0.0,5,ハンデ,ダート,３上,１６００万円以下,(混合)[指定] ,1800,1535,16,鹿毛,2019,2019,2019,407,316,224,12,10,8,5,2,6,8,3,6,57,57,56,474.0,476,478,-2,-2,2,146,61,23,7,3,1,9,10,1,11,4,2,12,3,2,12,4,2,13,4,2,1.54.3,1.53.9,1.52.6,1.0,0.9,0.0,４上,４上,４上,１６００万円以下,１６００万円以下,１０００万円以下,定量,定量,定量,(混合)[指定] ,(混合)[指定] ,[指定],ダート,ダート,ダート,1800,1800,1800,1625,1510,1350,14,16,8,5.0,5.0,,2,2,1,6,7,2,晴,曇,晴,良,良,良,0,0,0.0,36.0,38.2,37.2
2019,629,7,2013105481,3,1,11,2,4,関西,56,6,牡馬,3,5212,関西,1,0,0,0.0,5,ハンデ,ダート,３上,１６００万円以下,(混合)[指定] ,1800,1535,16,鹿毛,2019,2018,2018,203,1110,1006,11,10,11,7,8,7,8,8,11,55,57,57,460.0,454,456,6,-2,0,93,494,143,5,6,6,3,3,10,4,3,9,4,3,9,4,3,10,4,3,11,1.58.7,1.50.4,1.51.4,0.0,1.0,,４上,３上,３上,１６００万円以下,１６００万円以下,１６００万円以下,ハンデ,定量,定量,(混合),(混合)(特指),(混合)(特指),ダート,ダート,ダート,1900,1800,1800,1525,1510,1535,11,9,13,5.0,5.0,5.0,1,5,4,6,3,1,曇,晴,晴,稍重,稍重,稍重,1,1,1.0,37.4,36.8,36.7
2019,629,7,2015101987,3,1,11,3,5,関西,54,4,牡馬,2,5525,関西,0,0,0,0.0,5,ハンデ,ダート,３上,１６００万円以下,(混合)[指定] ,1800,1535,16,栗毛,2019,2019,2019,616,526,202,10,12,12,5,1,4,6,2,4,57,57,56,488.0,492,492,-4,0,2,93,274,81,4,6,5,6,16,1,2,2,1,2,2,1,2,5,1,1,6,1,1.52.0,1.54.6,1.52.3,1.8,3.3,0.0,３上,４上,４上,１６００万円以下,１６００万円以下,１０００万円以下,定量,定量,定量,(混合)(特指),(混合)[指定] ,(混合)[指定] ,ダート,ダート,ダート,1800,1800,1800,1501,1640,1610,13,16,12,5.0,5.0,,3,3,2,6,12,3,曇,晴,晴,稍重,良,稍重,0,0,0.0,38.3,40.4,37.6
2019,629,7,2014103582,3,1,11,3,6,関西,54,5,牡馬,5,1130,関西,0,0,0,0.0,5,ハンデ,ダート,３上,１６００万円以下,(混合)[指定] ,1800,1535,16,鹿毛,2019,2019,2019,526,427,310,12,10,10,8,5,5,16,7,7,57,57,55,486.0,482,486,4,-4,4,970,301,147,14,8,5,6,10,13,12,10,12,12,10,12,16,4,14,16,8,14,1.52.3,2.13.3,2.07.5,1.0,2.3,3.3,４上,４上,４上,１６００万円以下,１６００万円以下,１６００万円以下,定量,定量,ハンデ,(混合)[指定] ,(混合)[指定] ,(混合)[指定] ,ダート,ダート,ダート,1800,2100,2000,1640,1510,1501,16,13,14,5.0,5.0,5.0,3,2,1,12,3,6,晴,小雨,雨,良,稍重,稍重,0,0,1.0,36.2,39.3,39.3
2019,629,7,2014102253,3,1,11,4,7,関東,56,5,セン馬,3,732,関西,0,0,0,0.0,5,ハンデ,ダート,３上,１６００万円以下,(混合)[指定] ,1800,1535,16,鹿毛,2019,2019,2019,427,216,120,10,10,10,8,5,5,13,5,5,57,57,57,490.0,488,490,2,-2,0,21,86,42,1,3,2,8,2,3,3,6,1,3,7,1,4,9,1,2,7,1,2.12.8,2.11.3,1.52.8,1.8,0.6,0.4,４上,４上,４上,１６００万円以下,１６００万円以下,１６００万円以下,定量,定量,定量,(混合)[指定] ,(混合)[指定] ,(混合),ダート,ダート,ダート,2100,2100,1800,1510,1510,1501,13,12,11,5.0,5.0,5.0,2,1,1,3,7,7,小雨,晴,曇,稍重,良,稍重,0,0,0.0,39.3,37.0,36.2
2019,629,7,2012100555,3,1,11,4,8,関西,55,7,牡馬,4,1126,関西,1,0,0,0.0,5,ハンデ,ダート,３上,１６００万円以下,(混合)[指定] ,1800,1535,16,黒鹿毛,2019,2019,2018,210,114,1124,10,9,10,3,4,1,4,4,2,57,55,55,530.0,524,518,6,6,-4,180,543,1902,9,11,13,7,3,8,6,5,11,6,5,11,6,4,10,8,3,11,1.52.9,1.59.6,1.59.0,1.1,0.3,1.2,４上,４上,３上,１６００万円以下,１６００万円以下,１６００万円以下,定量,ハンデ,ハンデ,(混合),(混合)[指定] ,(混合)[指定] ,ダート,ダート,ダート,1800,1900,1900,1501,1435,1505,15,12,16,5.0,5.0,5.0,2,1,5,6,5,7,曇,晴,晴,稍重,良,良,1,1,1.0,38.7,37.1,37.6
2019,629,7,2015103248,3,1,11,5,9,関西,55,4,牡馬,2,1171,関西,0,0,0,0.0,5,ハンデ,ダート,３上,１６００万円以下,(混合)[指定] ,1800,1535,16,栗毛,2019,2019,2019,616,526,323,10,12,11,0,5,3,0,10,6,57,57,57,,532,538,0,-6,4,0,65,47,0,4,2,0,14,2,0,7,1,0,7,1,0,10,1,0,11,1,00.0,1.53.7,1.53.1,0.0,2.4,0.1,３上,４上,４上,１６００万円以下,１６００万円以下,１６００万円以下,定量,定量,定量,(混合)(特指),(混合)[指定] ,(混合),ダート,ダート,ダート,1800,1800,1800,1501,1640,1525,13,16,16,5.0,5.0,5.0,3,3,2,6,12,5,曇,晴,晴,稍重,良,良,0,0,0.0,0.0,38.7,38.1
2019,629,7,2014104506,3,1,11,5,10,関西,55,5,牡馬,4,1034,関西,0,0,0,0.0,5,ハンデ,ダート,３上,１６００万円以下,(混合)[指定] ,1800,1535,16,鹿毛,2019,2019,2019,519,427,323,12,10,11,8,8,6,16,12,11,55,57,57,514.0,514,512,0,2,2,73,58,69,4,3,3,8,3,5,14,8,8,14,9,10,12,4,4,10,5,4,2.12.4,2.11.7,1.53.5,0.8,0.7,0.5,４上,４上,４上,１６００万円以下,１６００万円以下,１６００万円以下,ハンデ,定量,定量,(混合)[指定] ,(混合)[指定] ,(混合),ダート,ダート,ダート,2100,2100,1800,1625,1510,1525,16,13,16,5.0,5.0,5.0,2,2,2,10,3,5,晴,小雨,晴,良,稍重,良,0,0,0.0,37.3,38.0,38.1
2019,629,7,2013104884,3,1,11,6,11,関東,54,6,牡馬,4,1125,関西,0,0,0,0.0,5,ハンデ,ダート,３上,１６００万円以下,(混合)[指定] ,1800,1535,16,鹿毛,2019,2018,2018,616,1228,1201,10,10,10,4,4,6,4,8,11,57,57,55,492.0,500,494,-8,6,2,367,1533,432,10,15,10,10,4,11,6,16,15,5,16,15,7,16,15,9,14,13,1.52.8,1.53.6,1.52.7,2.6,0.4,1.3,３上,３上,３上,１６００万円以下,１６００万円以下,１６００万円以下,定量,定量,ハンデ,(混合)(特指),(混合)(特指),(混合)[指定] ,ダート,ダート,ダート,1800,1800,1800,1501,1450,1450,13,16,15,5.0,5.0,5.0,3,5,5,6,9,1,曇,晴,晴,稍重,良,良,0,0,0.0,38.4,38.3,37.4
2019,629,7,2012100413,3,1,11,6,12,関東,54,7,牡馬,3,1166,関西,1,0,0,0.0,5,ハンデ,ダート,３上,１６００万円以下,(混合)[指定] ,1800,1535,16,鹿毛,2019,2019,2019,616,526,210,10,12,10,4,1,8,5,1,14,57,57,57,500.0,504,500,-4,4,4,544,501,111,13,12,7,7,11,12,10,5,10,10,5,10,11,5,8,9,6,14,1.52.0,1.53.0,1.54.0,1.8,1.7,2.2,３上,４上,４上,１６００万円以下,１６００万円以下,１６００万円以下,定量,定量,定量,(混合)(特指),(混合)[指定] ,(混合),ダート,ダート,ダート,1800,1800,1800,1501,1640,1501,13,16,15,5.0,5.0,5.0,3,3,2,6,12,6,曇,晴,曇,稍重,良,稍重,1,1,1.0,37.5,38.7,39.5
2019,629,7,2014106256,3,1,11,7,13,関西,54,5,牡馬,3,1014,関西,0,0,0,0.0,5,ハンデ,ダート,３上,１６００万円以下,(混合)[指定] ,1800,1535,16,黒鹿毛,2019,2019,2019,518,428,202,10,12,12,1,4,8,1,7,12,57,57,57,514.0,506,508,8,-2,14,19,27,117,1,1,6,1,2,4,9,2,12,8,3,12,8,3,11,7,2,11,2.12.0,2.13.0,1.52.6,0.0,0.1,0.3,４上,４上,４上,１０００万円以下,１０００万円以下,１０００万円以下,定量,定量,定量,(混合)[指定] ,[指定],(混合)[指定] ,ダート,ダート,ダート,2100,2100,1800,1510,1610,1610,16,16,12,5.0,,,2,2,2,9,4,3,晴,晴,晴,良,良,稍重,0,0,0.0,37.7,36.9,36.7
2019,629,7,2012104401,3,1,11,7,14,関西,54,7,牡馬,5,1128,関西,1,0,0,0.0,5,ハンデ,ダート,３上,１６００万円以下,(混合)[指定] ,1800,1535,16,黒鹿毛,2019,2019,2019,616,526,407,10,9,12,7,2,5,11,2,7,57,57,57,510.0,510,514,0,-4,-14,485,1996,497,12,15,10,9,15,11,8,0,9,7,0,9,7,10,10,6,11,11,1.52.4,1.39.1,1.54.9,2.2,2.4,1.6,３上,４上,４上,１６００万円以下,１６００万円以下,１６００万円以下,定量,定量,定量,(混合)(特指),(混合)[指定] ,(混合)[指定] ,ダート,ダート,ダート,1800,1600,1800,1501,1415,1625,13,15,14,5.0,5.0,5.0,3,2,2,6,12,6,曇,晴,晴,稍重,良,良,0,0,0.0,38.1,37.7,36.8
2019,629,7,2014100464,3,1,11,8,15,関西,56,5,牡馬,4,1138,関西,1,0,0,0.0,5,ハンデ,ダート,３上,１６００万円以下,(混合)[指定] ,1800,1535,16,鹿毛,2019,2019,2019,616,526,224,10,12,9,0,2,3,0,3,3,57,57,57,,490,496,0,-6,-2,0,926,158,0,13,7,0,12,8,0,12,6,0,12,6,0,9,7,0,10,6,00.0,1.53.0,1.54.0,0.0,1.7,2.3,３上,４上,４上,１６００万円以下,１６００万円以下,１６００万円以下,定量,定量,定量,(混合)(特指),(混合)[指定] ,(混合)[指定] ,ダート,ダート,ダート,1800,1800,1800,1501,1640,1425,13,16,11,5.0,5.0,5.0,3,3,1,6,12,2,曇,晴,晴,稍重,良,良,0,0,0.0,0.0,38.0,39.2
2019,629,7,2015105011,3,1,11,8,16,関西,55,4,牡馬,5,1088,関西,0,0,0,0.0,5,ハンデ,ダート,３上,１６００万円以下,(混合)[指定] ,1800,1535,16,栗毛,2019,2019,2018,413,317,624,12,8,6,7,8,5,13,10,9,57,57,54,530.0,522,512,8,10,-6,26,27,54,1,2,3,1,1,13,10,4,15,10,5,15,11,4,14,7,2,14,2.05.4,1.54.2,1.54.6,0.0,0.0,,４上,４上,３上,１０００万円以下,５００万円以下,５００万円以下,定量,定量,定量,(混合)[指定] ,[指定],[指定],ダート,ダート,ダート,2000,1800,1800,1610,1350,1255,15,10,16,,,,2,1,3,7,8,8,晴,晴,晴,良,稍重,重,0,0,,36.8,36.0,
